,Age,Job,Marital.Status,Education,Credit,Balance..euros.,Housing.Loan,Personal.Loan,Contact,Last.Contact.Day,Last.Contact.Month,Last.Contact.Duration,Campaign,Pdays,Previous,Poutcome,Subscription
1,58,management,married,tertiary,0,2143,1,0,unknown,5,may,261,1,-1,0.0,unknown,0
2,44,technician,single,secondary,0,29,1,0,unknown,5,may,151,1,-1,0.0,unknown,0
3,33,entrepreneur,married,secondary,0,2,1,1,unknown,5,may,76,1,-1,0.0,unknown,0
4,47,blue-collar,married,unknown,0,1506,1,0,unknown,5,may,92,1,-1,0.0,unknown,0
6,35,management,married,tertiary,0,231,1,0,unknown,5,may,139,1,-1,0.0,unknown,0
7,28,management,single,tertiary,0,447,1,1,unknown,5,may,217,1,-1,0.0,unknown,0
8,42,entrepreneur,divorced,tertiary,1,2,1,0,unknown,5,may,380,1,-1,0.0,unknown,0
9,58,retired,married,primary,0,121,1,0,unknown,5,may,50,1,-1,0.0,unknown,0
10,43,technician,single,secondary,0,593,1,0,unknown,5,may,55,1,-1,0.0,unknown,0
13,53,technician,married,secondary,0,6,1,0,unknown,5,may,517,1,-1,0.0,unknown,0
14,58,technician,married,unknown,0,71,1,0,unknown,5,may,71,1,-1,0.0,unknown,0
15,57,services,married,secondary,0,162,1,0,unknown,5,may,174,1,-1,0.0,unknown,0
16,51,retired,married,primary,0,229,1,0,unknown,5,may,353,1,-1,0.0,unknown,0
19,60,retired,married,primary,0,60,1,0,unknown,5,may,219,1,-1,0.0,unknown,0
20,33,services,married,secondary,0,0,1,0,unknown,5,may,54,1,-1,0.0,unknown,0
22,56,management,married,tertiary,0,779,1,0,unknown,5,may,164,1,-1,0.0,unknown,0
23,32,blue-collar,single,primary,0,23,1,1,unknown,5,may,160,1,-1,0.0,unknown,0
24,25,services,married,secondary,0,50,1,0,unknown,5,may,342,1,-1,0.0,unknown,0
25,40,retired,married,primary,0,0,1,1,unknown,5,may,181,1,-1,0.0,unknown,0
26,44,admin.,married,secondary,0,-372,1,0,unknown,5,may,172,1,-1,0.0,unknown,0
27,39,management,single,tertiary,0,255,1,0,unknown,5,may,296,1,-1,0.0,unknown,0
29,46,management,single,secondary,0,-246,1,0,unknown,5,may,255,2,-1,0.0,unknown,0
31,57,technician,married,secondary,0,839,0,1,unknown,5,may,225,1,-1,0.0,unknown,0
33,60,admin.,married,secondary,0,39,1,1,unknown,5,may,208,1,-1,0.0,unknown,0
36,57,technician,divorced,secondary,0,63,1,0,unknown,5,may,242,1,-1,0.0,unknown,0
38,53,technician,married,secondary,0,-3,0,0,unknown,5,may,1666,1,-1,0.0,unknown,0
39,36,admin.,divorced,secondary,0,506,1,0,unknown,5,may,577,1,-1,0.0,unknown,0
40,37,admin.,single,secondary,0,0,1,0,unknown,5,may,137,1,-1,0.0,unknown,0
42,50,management,married,secondary,0,49,1,0,unknown,5,may,180,2,-1,0.0,unknown,0
43,60,blue-collar,married,unknown,0,104,1,0,unknown,5,may,22,1,-1,0.0,unknown,0
44,54,retired,married,secondary,0,529,1,0,unknown,5,may,1492,1,-1,0.0,unknown,0
45,58,retired,married,unknown,0,96,1,0,unknown,5,may,616,1,-1,0.0,unknown,0
46,36,admin.,single,primary,0,-171,1,0,unknown,5,may,242,1,-1,0.0,unknown,0
48,44,technician,married,secondary,0,0,1,0,unknown,5,may,225,2,-1,0.0,unknown,0
49,55,technician,divorced,secondary,0,0,0,0,unknown,5,may,160,1,-1,0.0,unknown,0
50,29,management,single,tertiary,0,0,1,0,unknown,5,may,363,1,-1,0.0,unknown,0
52,48,management,divorced,tertiary,0,-244,1,0,unknown,5,may,253,1,-1,0.0,unknown,0
53,32,management,married,tertiary,0,0,1,0,unknown,5,may,179,1,-1,0.0,unknown,0
54,42,admin.,single,secondary,0,-76,1,0,unknown,5,may,787,1,-1,0.0,unknown,0
55,24,technician,single,secondary,0,-103,1,1,unknown,5,may,145,1,-1,0.0,unknown,0
56,38,entrepreneur,single,tertiary,0,243,0,1,unknown,5,may,174,1,-1,0.0,unknown,0
57,38,management,single,tertiary,0,424,1,0,unknown,5,may,104,1,-1,0.0,unknown,0
58,47,blue-collar,married,unknown,0,306,1,0,unknown,5,may,13,1,-1,0.0,unknown,0
59,40,blue-collar,single,unknown,0,24,1,0,unknown,5,may,185,1,-1,0.0,unknown,0
61,32,admin.,married,tertiary,0,0,1,0,unknown,5,may,138,1,-1,0.0,unknown,0
63,57,blue-collar,married,primary,0,249,1,0,unknown,5,may,164,1,-1,0.0,unknown,0
64,33,services,married,secondary,0,790,1,0,unknown,5,may,391,1,-1,0.0,unknown,0
65,49,blue-collar,married,unknown,0,154,1,0,unknown,5,may,357,1,-1,0.0,unknown,0
66,51,management,married,tertiary,0,6530,1,0,unknown,5,may,91,1,-1,0.0,unknown,0
68,59,management,divorced,tertiary,0,59,1,0,unknown,5,may,273,1,-1,0.0,unknown,0
70,35,blue-collar,single,secondary,0,12223,1,1,unknown,5,may,177,1,-1,0.0,unknown,0
71,57,blue-collar,married,secondary,0,5935,1,1,unknown,5,may,258,1,-1,0.0,unknown,0
72,31,services,married,secondary,0,25,1,1,unknown,5,may,172,1,-1,0.0,unknown,0
73,54,management,married,secondary,0,282,1,1,unknown,5,may,154,1,-1,0.0,unknown,0
74,55,blue-collar,married,primary,0,23,1,0,unknown,5,may,291,1,-1,0.0,unknown,0
75,43,technician,married,secondary,0,1937,1,0,unknown,5,may,181,1,-1,0.0,unknown,0
77,44,blue-collar,married,secondary,0,582,0,1,unknown,5,may,211,1,-1,0.0,unknown,0
78,55,services,divorced,secondary,0,91,0,0,unknown,5,may,349,1,-1,0.0,unknown,0
79,49,services,divorced,secondary,0,0,1,1,unknown,5,may,272,1,-1,0.0,unknown,0
81,45,admin.,single,secondary,0,206,1,0,unknown,5,may,193,1,-1,0.0,unknown,0
82,47,services,divorced,secondary,0,164,0,0,unknown,5,may,212,1,-1,0.0,unknown,0
84,59,admin.,married,secondary,0,2343,1,0,unknown,5,may,1042,1,-1,0.0,unknown,1
86,51,blue-collar,married,primary,0,173,1,0,unknown,5,may,529,2,-1,0.0,unknown,0
87,56,admin.,married,secondary,0,45,0,0,unknown,5,may,1467,1,-1,0.0,unknown,1
88,41,technician,married,secondary,0,1270,1,0,unknown,5,may,1389,1,-1,0.0,unknown,1
90,57,retired,married,secondary,0,486,1,0,unknown,5,may,180,2,-1,0.0,unknown,0
91,42,management,single,secondary,0,50,0,0,unknown,5,may,48,1,-1,0.0,unknown,0
92,30,technician,married,secondary,0,152,1,1,unknown,5,may,213,2,-1,0.0,unknown,0
93,60,admin.,married,secondary,0,290,1,0,unknown,5,may,583,1,-1,0.0,unknown,0
94,60,blue-collar,married,unknown,0,54,1,0,unknown,5,may,221,1,-1,0.0,unknown,0
95,57,entrepreneur,divorced,secondary,0,-37,0,0,unknown,5,may,173,1,-1,0.0,unknown,0
96,36,management,married,tertiary,0,101,1,1,unknown,5,may,426,1,-1,0.0,unknown,0
99,39,technician,married,secondary,0,0,1,0,unknown,5,may,203,1,-1,0.0,unknown,0
100,46,management,married,tertiary,0,229,1,0,unknown,5,may,197,1,-1,0.0,unknown,0
101,44,blue-collar,married,secondary,0,-674,1,0,unknown,5,may,257,1,-1,0.0,unknown,0
102,53,blue-collar,married,primary,0,90,0,0,unknown,5,may,124,1,-1,0.0,unknown,0
103,52,blue-collar,married,primary,0,128,1,0,unknown,5,may,229,1,-1,0.0,unknown,0
104,59,blue-collar,married,primary,0,179,1,0,unknown,5,may,55,3,-1,0.0,unknown,0
107,47,technician,married,tertiary,0,151,1,0,unknown,5,may,190,1,-1,0.0,unknown,0
110,45,management,married,tertiary,0,523,1,0,unknown,5,may,849,2,-1,0.0,unknown,0
111,29,services,divorced,secondary,0,31,1,0,unknown,5,may,194,1,-1,0.0,unknown,0
113,56,self-employed,married,primary,0,-34,1,1,unknown,5,may,212,2,-1,0.0,unknown,0
116,44,blue-collar,married,secondary,0,144,1,0,unknown,5,may,247,2,-1,0.0,unknown,0
117,41,admin.,married,secondary,0,351,1,0,unknown,5,may,518,1,-1,0.0,unknown,0
118,33,management,single,tertiary,0,-67,1,0,unknown,5,may,364,1,-1,0.0,unknown,0
119,59,management,divorced,tertiary,0,262,0,0,unknown,5,may,178,1,-1,0.0,unknown,0
122,51,blue-collar,married,secondary,0,26,1,0,unknown,5,may,79,1,-1,0.0,unknown,0
123,34,admin.,married,unknown,0,3,1,0,unknown,5,may,120,3,-1,0.0,unknown,0
124,43,services,married,secondary,0,41,1,1,unknown,5,may,127,2,-1,0.0,unknown,0
125,52,technician,married,tertiary,0,7,0,1,unknown,5,may,175,1,-1,0.0,unknown,0
127,29,admin.,single,secondary,0,818,1,1,unknown,5,may,61,1,-1,0.0,unknown,0
128,34,services,married,secondary,0,-16,1,1,unknown,5,may,78,1,-1,0.0,unknown,0
130,55,services,married,secondary,0,2476,1,0,unknown,5,may,579,1,-1,0.0,unknown,1
132,32,admin.,single,secondary,0,217,1,0,unknown,5,may,345,1,-1,0.0,unknown,0
133,38,technician,single,secondary,0,1685,1,0,unknown,5,may,185,1,-1,0.0,unknown,0
135,28,unemployed,single,tertiary,0,0,1,0,unknown,5,may,125,2,-1,0.0,unknown,0
136,23,blue-collar,married,secondary,0,94,1,0,unknown,5,may,193,1,-1,0.0,unknown,0
137,32,technician,single,secondary,0,0,1,0,unknown,5,may,136,1,-1,0.0,unknown,0
138,43,services,single,unknown,0,0,0,0,unknown,5,may,73,1,-1,0.0,unknown,0
139,32,blue-collar,married,secondary,0,517,1,0,unknown,5,may,528,1,-1,0.0,unknown,0
140,46,blue-collar,married,secondary,0,265,1,0,unknown,5,may,541,1,-1,0.0,unknown,0
141,53,housemaid,divorced,primary,0,947,1,0,unknown,5,may,163,1,-1,0.0,unknown,0
142,34,self-employed,single,secondary,0,3,1,0,unknown,5,may,301,1,-1,0.0,unknown,0
143,57,unemployed,married,tertiary,0,42,0,0,unknown,5,may,46,1,-1,0.0,unknown,0
144,37,blue-collar,married,secondary,0,37,1,0,unknown,5,may,204,1,-1,0.0,unknown,0
146,33,services,married,secondary,0,22,1,0,unknown,5,may,71,1,-1,0.0,unknown,0
147,56,blue-collar,divorced,primary,0,8,1,0,unknown,5,may,157,2,-1,0.0,unknown,0
148,48,unemployed,married,secondary,0,293,1,0,unknown,5,may,243,1,-1,0.0,unknown,0
149,43,services,married,primary,0,3,1,0,unknown,5,may,186,2,-1,0.0,unknown,0
150,54,blue-collar,married,primary,0,348,1,0,unknown,5,may,579,2,-1,0.0,unknown,0
151,51,blue-collar,married,unknown,0,-19,1,0,unknown,5,may,163,2,-1,0.0,unknown,0
152,26,student,single,secondary,0,0,1,0,unknown,5,may,610,2,-1,0.0,unknown,0
154,39,management,married,secondary,0,18,1,0,unknown,5,may,85,1,-1,0.0,unknown,0
155,50,technician,married,primary,0,139,0,0,unknown,5,may,114,2,-1,0.0,unknown,0
156,41,services,married,secondary,0,0,1,0,unknown,5,may,114,2,-1,0.0,unknown,0
158,60,retired,divorced,secondary,0,216,1,0,unknown,5,may,238,1,-1,0.0,unknown,0
159,52,blue-collar,married,secondary,0,782,1,0,unknown,5,may,93,3,-1,0.0,unknown,0
160,48,blue-collar,married,secondary,0,904,1,0,unknown,5,may,128,2,-1,0.0,unknown,0
162,39,technician,single,tertiary,0,47,1,0,unknown,5,may,181,1,-1,0.0,unknown,0
163,47,services,single,secondary,0,176,1,0,unknown,5,may,303,2,-1,0.0,unknown,0
165,45,technician,married,secondary,0,86,1,0,unknown,5,may,270,1,-1,0.0,unknown,0
166,26,admin.,single,secondary,0,82,1,0,unknown,5,may,228,1,-1,0.0,unknown,0
168,54,technician,married,secondary,0,1378,1,0,unknown,5,may,240,1,-1,0.0,unknown,0
170,50,blue-collar,married,primary,0,0,0,0,unknown,5,may,233,3,-1,0.0,unknown,0
174,35,retired,single,primary,0,434,0,0,unknown,5,may,138,1,-1,0.0,unknown,0
175,60,admin.,divorced,secondary,0,92,1,0,unknown,5,may,130,1,-1,0.0,unknown,0
177,48,unemployed,married,secondary,0,41,1,0,unknown,5,may,179,2,-1,0.0,unknown,0
178,34,technician,married,secondary,0,51,1,0,unknown,5,may,19,2,-1,0.0,unknown,0
179,54,services,married,secondary,0,214,1,0,unknown,5,may,458,2,-1,0.0,unknown,0
180,51,management,married,secondary,0,1161,1,0,unknown,5,may,717,1,-1,0.0,unknown,0
182,35,technician,divorced,secondary,0,787,1,0,unknown,5,may,683,2,-1,0.0,unknown,0
183,35,services,married,secondary,0,59,1,0,unknown,5,may,1077,1,-1,0.0,unknown,0
185,36,admin.,married,tertiary,0,211,1,0,unknown,5,may,146,2,-1,0.0,unknown,0
186,58,retired,married,primary,0,235,1,0,unknown,5,may,167,1,-1,0.0,unknown,0
187,40,services,divorced,unknown,0,4384,1,0,unknown,5,may,315,1,-1,0.0,unknown,0
189,34,blue-collar,single,secondary,0,53,1,1,unknown,5,may,346,1,-1,0.0,unknown,0
190,31,management,single,tertiary,0,0,1,0,unknown,5,may,562,1,-1,0.0,unknown,0
191,51,retired,married,secondary,0,2127,1,0,unknown,5,may,172,1,-1,0.0,unknown,0
192,33,management,married,tertiary,0,377,1,0,unknown,5,may,217,1,-1,0.0,unknown,0
193,55,management,married,tertiary,0,73,1,0,unknown,5,may,142,2,-1,0.0,unknown,0
195,34,blue-collar,married,secondary,0,243,1,0,unknown,5,may,291,1,-1,0.0,unknown,0
196,33,blue-collar,single,secondary,0,307,1,0,unknown,5,may,309,2,-1,0.0,unknown,0
199,43,management,married,tertiary,0,400,1,0,unknown,5,may,256,1,-1,0.0,unknown,0
200,61,blue-collar,divorced,primary,0,1428,1,0,unknown,5,may,82,2,-1,0.0,unknown,0
202,48,self-employed,married,tertiary,0,7,1,0,unknown,5,may,286,1,-1,0.0,unknown,0
203,44,blue-collar,married,secondary,0,575,1,0,unknown,5,may,477,1,-1,0.0,unknown,0
204,35,student,single,unknown,0,298,1,0,unknown,5,may,611,2,-1,0.0,unknown,0
205,35,services,married,secondary,0,0,1,0,unknown,5,may,471,1,-1,0.0,unknown,0
206,50,services,married,secondary,0,5699,1,0,unknown,5,may,381,2,-1,0.0,unknown,0
207,41,management,married,tertiary,0,176,1,1,unknown,5,may,42,1,-1,0.0,unknown,0
208,41,management,married,tertiary,0,517,1,0,unknown,5,may,251,1,-1,0.0,unknown,0
209,39,services,single,unknown,0,257,1,0,unknown,5,may,408,1,-1,0.0,unknown,0
210,42,retired,married,secondary,0,56,1,0,unknown,5,may,215,1,-1,0.0,unknown,0
212,53,retired,married,secondary,0,330,1,0,unknown,5,may,216,2,-1,0.0,unknown,0
213,59,housemaid,divorced,primary,0,195,0,0,unknown,5,may,366,2,-1,0.0,unknown,0
214,36,services,married,secondary,0,301,1,0,unknown,5,may,210,1,-1,0.0,unknown,0
215,54,blue-collar,married,primary,0,-41,1,0,unknown,5,may,288,1,-1,0.0,unknown,0
217,47,unknown,married,unknown,0,28,0,0,unknown,5,may,338,2,-1,0.0,unknown,0
218,53,unemployed,married,unknown,0,13,0,0,unknown,5,may,410,3,-1,0.0,unknown,0
219,46,housemaid,married,primary,0,965,0,0,unknown,5,may,177,1,-1,0.0,unknown,0
220,39,management,married,tertiary,0,378,1,1,unknown,5,may,127,2,-1,0.0,unknown,0
221,40,unemployed,married,secondary,0,219,1,0,unknown,5,may,357,1,-1,0.0,unknown,0
222,28,blue-collar,married,primary,0,324,1,0,unknown,5,may,175,1,-1,0.0,unknown,0
223,35,entrepreneur,divorced,secondary,0,-69,1,0,unknown,5,may,300,1,-1,0.0,unknown,0
224,55,retired,married,secondary,0,0,0,1,unknown,5,may,136,1,-1,0.0,unknown,0
226,48,blue-collar,married,primary,0,278,1,0,unknown,5,may,125,2,-1,0.0,unknown,0
227,58,management,married,unknown,0,1065,1,0,unknown,5,may,213,3,-1,0.0,unknown,0
229,36,blue-collar,married,unknown,0,1033,0,0,unknown,5,may,238,2,-1,0.0,unknown,0
230,53,services,divorced,secondary,0,1467,1,0,unknown,5,may,124,1,-1,0.0,unknown,0
231,47,blue-collar,married,primary,0,-12,1,0,unknown,5,may,18,1,-1,0.0,unknown,0
232,31,services,married,secondary,0,388,1,0,unknown,5,may,730,2,-1,0.0,unknown,0
233,57,entrepreneur,married,secondary,0,294,1,0,unknown,5,may,746,2,-1,0.0,unknown,0
234,53,blue-collar,married,unknown,0,1827,0,0,unknown,5,may,121,1,-1,0.0,unknown,0
235,55,blue-collar,married,primary,0,627,1,0,unknown,5,may,247,1,-1,0.0,unknown,0
236,45,blue-collar,married,primary,0,25,1,0,unknown,5,may,40,1,-1,0.0,unknown,0
239,44,admin.,divorced,secondary,0,66,1,0,unknown,5,may,206,1,-1,0.0,unknown,0
242,43,entrepreneur,married,unknown,0,100,1,0,unknown,5,may,702,1,-1,0.0,unknown,0
245,49,management,married,tertiary,0,3237,1,0,unknown,5,may,232,3,-1,0.0,unknown,0
246,42,management,married,unknown,0,275,0,0,unknown,5,may,408,2,-1,0.0,unknown,0
248,40,management,married,tertiary,0,207,1,0,unknown,5,may,39,1,-1,0.0,unknown,0
249,39,blue-collar,married,secondary,0,483,1,0,unknown,5,may,282,1,-1,0.0,unknown,0
250,51,services,married,secondary,0,2248,1,0,unknown,5,may,714,2,-1,0.0,unknown,0
251,49,admin.,married,secondary,0,428,1,0,unknown,5,may,50,1,-1,0.0,unknown,0
253,34,services,single,secondary,0,0,1,0,unknown,5,may,142,1,-1,0.0,unknown,0
254,33,technician,divorced,secondary,0,140,1,0,unknown,5,may,227,1,-1,0.0,unknown,0
256,39,blue-collar,married,primary,0,279,1,0,unknown,5,may,361,1,-1,0.0,unknown,0
257,59,entrepreneur,divorced,secondary,0,901,1,0,unknown,5,may,73,3,-1,0.0,unknown,0
258,30,technician,single,secondary,0,2573,1,0,unknown,5,may,67,2,-1,0.0,unknown,0
259,36,services,married,secondary,0,143,1,1,unknown,5,may,350,1,-1,0.0,unknown,0
261,53,blue-collar,married,secondary,0,70,1,0,unknown,5,may,611,2,-1,0.0,unknown,0
262,34,management,single,tertiary,0,318,1,0,unknown,5,may,113,2,-1,0.0,unknown,0
264,42,management,divorced,tertiary,0,742,1,0,unknown,5,may,58,3,-1,0.0,unknown,0
265,41,entrepreneur,married,primary,0,236,1,0,unknown,5,may,151,1,-1,0.0,unknown,0
266,30,student,single,tertiary,0,25,1,0,unknown,5,may,89,2,-1,0.0,unknown,0
268,39,admin.,divorced,secondary,0,-349,1,0,unknown,5,may,611,2,-1,0.0,unknown,0
269,41,blue-collar,married,primary,0,183,1,1,unknown,5,may,110,2,-1,0.0,unknown,0
271,42,management,single,tertiary,0,0,1,1,unknown,5,may,562,2,-1,0.0,unknown,1
273,57,technician,married,secondary,0,1078,1,0,unknown,5,may,10,4,-1,0.0,unknown,0
274,56,entrepreneur,divorced,secondary,0,155,0,0,unknown,5,may,118,3,-1,0.0,unknown,0
275,37,admin.,married,secondary,0,190,1,0,unknown,5,may,92,2,-1,0.0,unknown,0
276,59,retired,married,secondary,0,319,1,0,unknown,5,may,143,3,-1,0.0,unknown,0
277,39,services,divorced,secondary,0,-185,1,0,unknown,5,may,189,3,-1,0.0,unknown,0
278,49,services,married,secondary,0,47,0,0,unknown,5,may,234,2,-1,0.0,unknown,0
282,41,admin.,married,secondary,0,-62,1,1,unknown,5,may,55,2,-1,0.0,unknown,0
284,58,blue-collar,married,primary,0,76,1,0,unknown,5,may,156,2,-1,0.0,unknown,0
285,30,blue-collar,single,secondary,0,0,1,0,unknown,5,may,5,2,-1,0.0,unknown,0
287,47,admin.,married,secondary,0,368,1,0,unknown,5,may,125,2,-1,0.0,unknown,0
288,50,technician,single,tertiary,0,339,1,0,unknown,5,may,2,3,-1,0.0,unknown,0
290,40,self-employed,married,secondary,0,672,1,0,unknown,5,may,164,2,-1,0.0,unknown,0
291,37,management,married,tertiary,0,58,1,0,unknown,5,may,98,2,-1,0.0,unknown,0
293,24,student,single,secondary,0,423,1,0,unknown,5,may,226,3,-1,0.0,unknown,0
294,54,management,married,tertiary,0,0,0,0,unknown,5,may,120,2,-1,0.0,unknown,0
295,34,technician,married,secondary,0,19,1,0,unknown,5,may,362,4,-1,0.0,unknown,0
296,56,technician,divorced,primary,0,13,1,0,unknown,5,may,357,2,-1,0.0,unknown,0
297,31,blue-collar,single,secondary,0,3,1,0,unknown,5,may,200,2,-1,0.0,unknown,0
298,24,student,single,secondary,0,82,1,0,unknown,5,may,204,2,-1,0.0,unknown,0
299,42,blue-collar,divorced,primary,0,28,1,0,unknown,5,may,126,3,-1,0.0,unknown,0
300,57,technician,married,secondary,0,792,1,0,unknown,5,may,65,2,-1,0.0,unknown,0
301,42,blue-collar,married,unknown,0,408,1,0,unknown,5,may,107,2,-1,0.0,unknown,0
302,51,admin.,married,secondary,0,531,1,0,unknown,5,may,267,2,-1,0.0,unknown,0
